ID,HowRare.is,MoonRank
1038,5897,5112
1039,2789,5651
1040,7850,7037
1041,2063,1565
1042,4566,5034
1043,4474,4006
1044,5095,4514
1045,6196,6381
1046,6943,7634
1047,1235,1418
1048,5634,5449
1049,1069,1093
1050,2317,4269
1051,409,101
1052,9441,8476
1053,1203,1196
1054,2394,1752
1055,608,252
1056,1359,1509
1057,9861,9740
1058,180,4165
1059,331,429
1060,2142,1897
1061,4741,4073
1062,4942,4282
1063,4659,3835
1064,3734,3135
1065,2620,2097
1066,7575,6970
1067,645,673
1068,4822,3956
1069,2995,3864
1070,289,239
1071,3437,2658
1072,3732,5197
1073,5166,4775
1074,1835,2222
1075,6020,5263
1076,8142,8004
1077,8514,8866
1078,1578,1127
1079,3924,3325
1080,5416,4464
1081,8398,8359
1082,8636,8897
1083,6291,5587
1084,7767,8535
1085,3505,3317
1086,1054,602
1087,9442,8468
1088,1705,1234
1089,1365,902
1090,1236,1697
1091,340,352
1092,4880,4243
1093,7498,7319
1094,2224,1813
1095,8938,9288
1096,1679,3260
1097,4723,3940
1098,1957,2515
1099,5038,4448
1100,133,99
1101,437,199
1102,1204,1197
1103,3169,2751
1104,4698,4108
1105,5277,4779
1106,4959,4424
1107,8176,7617
1108,2069,2512
1109,6217,5520
1110,9013,8814
1111,789,233
1112,301,91
1113,2988,2387
1114,6302,7204
1115,4642,3855
1116,6687,7205
1117,8093,7847
1118,3878,3273
1119,2120,1600
1120,118,75
1121,3371,2816
1122,2879,4420
1123,1491,1625
1124,7534,6332
1125,6410,7430
1126,4245,5736
1127,1695,1247
1128,2564,1996
1129,4197,3396
1130,1273,1390
1131,2821,2681
1132,7679,8487
1133,3951,3361
1134,3562,3469
1135,9494,8931
1136,4503,3748
1137,3447,2966
1138,9316,8436
1139,4892,5126
1140,2802,3517
1141,6635,7409
1142,4187,5602
1143,3128,2521
1144,2039,1523
1145,2958,2380
1146,9647,9862
1147,424,212
1148,8066,7701
1149,179,48
1150,6237,5933
1151,1053,601
1152,3289,2806
1153,1664,1369
1154,3634,2690
1155,3557,3009
1156,5682,5716
1157,553,162
1158,7454,6551
1159,4258,4832
1160,5380,4661
1161,2267,3053
1162,2322,1758
1163,3039,2631
1164,1789,2019
1165,9030,8662
1166,3369,2822
1167,3776,2948
1168,2246,1717
1169,1560,1211
1170,358,480
1171,4780,4198
1172,4143,3169
1173,307,709
1174,8817,9168
1175,5170,4776
1176,2529,1879
1177,5171,4772
1178,7316,6415
1179,4611,4766
1180,2548,2053
1181,7619,6675
1182,4743,4069
1183,3895,3356
1184,8544,8960
1185,3344,2490
1186,1893,1412
1187,1701,1280
1188,2544,2981
1189,4530,3843
1190,2707,2302
1191,812,850
1192,5992,5744
1193,1929,1431
1194,3538,2605
1195,5401,4835
1196,8032,7789
1197,6214,5521
1198,9092,8455
1199,3104,2317
1200,6171,6259
1201,1826,2566
1202,9849,9827
1203,7125,8803
1204,1455,1354
1205,7440,6555
1206,4030,3310
1207,7603,6815
1208,2969,2373
1209,2448,1906
1210,8804,9566
1211,9986,9976
1212,6629,7887
1213,4130,3461
1214,5030,5347
1215,9611,9111
1216,1522,1603
1217,7302,6753
1218,2012,1526
1219,3989,3173
1220,5359,5407
1221,5425,4817
1222,9686,9133
1223,4497,3742
1224,7631,7454
1225,2010,1490
1226,7422,7257
1227,3658,2876
1228,375,180
1229,1265,1528
1230,1301,984
1231,413,680
1232,112,79
1233,4257,3641
1234,1028,534
1235,4730,3941
1236,7743,7031
1237,3949,3364
1238,8065,7702
1239,3011,2467
1240,2473,1939
1241,3380,2823
1242,9638,9854
1243,839,1489
1244,377,536
1245,2701,2303
1246,1070,962
1247,3324,4676
1248,4641,4297
1249,3432,2705
1250,1874,1511
1251,7330,7846
1252,1932,4141
1253,5976,5345
1254,7719,7492
1255,750,719
1256,6145,5936
1257,2643,2288
1258,3107,3719
1259,1587,1055
1260,2632,2201
1261,923,1007
1262,209,910
1263,4269,4635
1264,8442,9560
1265,7799,7603
1266,1209,1199
1267,3768,2942
1268,2373,2226
1269,8392,8358
1270,9358,8430
1271,9905,9765
1272,8274,7716
1273,5953,6915
1274,5776,5094
1275,4350,3689
1276,322,398
1277,,10008
1278,831,2210
1279,405,658
1280,1772,1364
1281,9560,9387
1282,4575,5312
1283,248,132
1284,4665,5061
1285,9102,9402
1286,3002,2458
1287,5718,5233
1288,8457,8032
1289,7256,7844
1290,,10009
1291,3943,3959
1292,7060,6004
1293,4168,4162
1294,6564,8153
1295,8883,8787
1296,5797,5099
1297,7513,7135
1298,243,410
1299,5061,4449
1300,787,725
1301,5388,4694
