ID,HowRare.is,MoonRank
1007,2595,3770
1008,9008,8027
1009,7419,5765
1010,6592,6482
1011,7576,6182
1012,8134,7381
1013,7412,7846
1014,3864,1496
1015,7197,7408
1016,6208,8334
1017,2361,4787
1018,9843,9907
1019,6769,6199
1020,2799,3709
1021,4712,6111
1022,755,1641
1023,5991,5756
1024,7557,7791
1025,7702,6339
1026,1397,3323
1027,3010,4223
1028,9921,9932
1029,2598,4194
1030,8823,8737
1031,4524,4949
1032,8965,8555
1033,6494,1197
1034,3350,2414
1035,1458,490
1036,7735,8666
1037,9489,9152
1038,7220,7962
1039,3768,2478
1040,2503,5683
1041,7740,6514
1042,6712,7358
1043,6818,7524
1044,3232,2875
1045,8964,8785
1046,9742,9685
1047,5568,4850
1048,1400,55
1049,1032,2216
1050,3132,7115
1051,4013,2642
1052,5778,2493
1053,6130,7896
1054,9916,9918
1055,4278,5928
1056,9249,8252
1057,8852,7919
1058,9224,8458
1059,7569,7378
1060,730,2710
1061,3901,6628
1062,2675,5653
1063,4173,5854
1064,7981,8060
1065,3072,3169
1066,7520,5857
1067,4906,5379
1068,5245,6305
1069,8641,9474
1070,3853,4642
1071,7043,5157
1072,6244,3524
1073,5993,1062
1074,1082,2591
1075,5317,6794
1076,2889,4172
1077,1367,529
1078,4507,6068
1079,9960,9953
1080,6085,4039
1081,6479,6809
1082,7766,5282
1083,2219,3760
1084,3391,4356
1085,4264,5504
1086,8952,8006
1087,8049,7123
1088,8154,8883
1089,8788,8285
1090,9914,9915
1091,4892,1344
1092,8578,8432
1093,9608,9559
1094,2533,5303
1095,5809,5374
1096,27,31
1097,4238,5987
1098,4137,1911
1099,5907,8089
1100,4205,2909
1101,1794,5267
1102,684,219
1103,7926,6718
1104,2088,2282
1105,9471,9195
1106,7725,8874
1107,4596,5131
1108,8377,8538
1109,3214,1876
1110,3211,7763
1111,2601,3799
1112,1584,2870
1113,2261,1047
1114,43,1796
1115,7099,6239
1116,658,1761
1117,1546,2051
1118,263,25
1119,3724,3579
1120,4630,4555
1121,8025,7998
1122,512,3515
1123,6533,7250
1124,6843,4732
1125,8729,7507
1126,3013,6313
1127,8510,8098
1128,1270,375
1129,9828,9842
1130,5362,4871
1131,8297,7082
1132,8446,8198
1133,5851,6882
1134,8631,8113
1135,3379,3499
1136,5050,4898
1137,7960,6978
1138,5895,3887
1139,5376,6813
1140,6068,3250
1141,7038,7327
1142,8369,8123
1143,9723,9670
1144,1199,249
1145,5385,3782
1146,3811,3533
1147,4607,2082
1148,6814,8517
1149,5465,5672
1150,5735,6153
1151,8413,8247
1152,1586,2064
1153,6322,7294
1154,6309,4335
1155,6019,4257
1156,9103,8840
1157,1356,3263
1158,7474,8294
1159,2229,1318
1160,1900,1921
1161,5347,8237
1162,2661,3984
1163,8752,8669
1164,3135,752
1165,6242,4021
1166,7098,6798
1167,5774,2484
1168,1303,3797
1169,4616,2410
1170,6493,4500
1171,4109,4111
1172,1295,2374
1173,9838,9904
1174,1102,1073
1175,9198,9448
1176,9475,9110
